id,grupo,time_casa,time_fora,gols_casa,gols_fora,data,cidade,estadio,rodada
1,A,Mexico,Africa do Sul,2,0,2026-06-11,Cidade do Mexico,Estadio Azteca,1
2,A,Coreia do Sul,Tchequia,2,1,2026-06-11,Dallas,AT&T Stadium,1
3,B,Canada,Bosnia-Herzegovina,1,1,2026-06-13,Toronto,BMO Field,1
4,B,Catar,Suica,1,1,2026-06-12,Vancouver,BC Place,1
5,C,Haiti,Escocia,0,1,2026-06-13,Atlanta,Mercedes-Benz Stadium,1
6,C,Brasil,Marrocos,1,1,2026-06-13,Philadelphia,Lincoln Financial Field,1
7,D,Australia,Turquia,2,0,2026-06-12,Kansas City,Arrowhead Stadium,1
8,D,EUA,Paraguai,4,1,2026-06-12,Los Angeles,SoFi Stadium,1
9,I,Franca,Senegal,3,1,2026-06-14,Miami,Hard Rock Stadium,1
10,I,Noruega,Iraque,4,1,2026-06-14,Seattle,Lumen Field,1
11,J,Argentina,Argelia,3,0,2026-06-15,Nova York,MetLife Stadium,1
12,J,Austria,Jordania,3,1,2026-06-15,Houston,NRG Stadium,1
