nome,grupo,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,pontos,posse_media,chutes,amarelos,vermelhos
Brasil,C,1,0,1,0,1,1,0,1,62,14,1,0
Marrocos,C,1,0,1,0,1,1,0,1,38,8,2,0
Escocia,C,1,1,0,0,1,0,1,3,44,9,1,0
Haiti,C,1,0,0,1,0,1,-1,0,56,7,3,0
Mexico,A,1,1,0,0,2,0,2,3,58,16,0,0
Africa do Sul,A,1,0,0,1,0,2,-2,0,42,6,2,0
Coreia do Sul,A,1,1,0,0,2,1,1,3,52,13,1,0
Tchequia,A,1,0,0,1,1,2,-1,0,48,10,2,0
Canada,B,1,0,1,0,1,1,0,1,55,11,1,0
Bosnia-Herzegovina,B,1,0,1,0,1,1,0,1,45,8,2,0
Catar,B,1,0,1,0,1,1,0,1,41,7,1,0
Suica,B,1,0,1,0,1,1,0,1,59,13,0,0
EUA,D,1,1,0,0,4,1,3,3,63,19,0,0
Australia,D,1,1,0,0,2,0,2,3,47,12,1,0
Paraguai,D,1,0,0,1,1,4,-3,0,37,8,3,0
Turquia,D,1,0,0,1,0,2,-2,0,53,11,2,0
Franca,I,1,1,0,0,3,1,2,3,67,18,0,0
Noruega,I,1,1,0,0,4,1,3,3,49,17,1,0
Senegal,I,1,0,0,1,1,3,-2,0,33,9,2,0
Iraque,I,1,0,0,1,1,4,-3,0,51,8,3,0
Argentina,J,1,1,0,0,3,0,3,3,61,16,0,0
Austria,J,1,1,0,0,3,1,2,3,54,14,1,0
Argelia,J,1,0,0,1,0,3,-3,0,39,7,2,0
Jordania,J,1,0,0,1,1,3,-2,0,46,8,3,0
Japao,K,1,1,0,0,2,0,2,3,38,9,1,0
