uc,data,ha
UC01,2026-03-19,2
UC01,2026-04-09,2
UC01,2026-04-16,2
UC01,2026-04-30,2
UC01,2026-05-14,2
UC01,2026-05-28,3
UC01,2026-06-11,3
UC01,2026-07-30,3
UC01,2026-08-20,3
UC02,2026-03-19,1
UC02,2026-04-09,1
UC02,2026-04-16,1
UC02,2026-04-30,1
UC02,2026-05-14,1
UC02,2026-05-30,3
UC02,2026-06-11,3
UC02,2026-07-09,3
UC02,2026-08-13,3
UC02,2026-09-03,3
UC03,2026-03-26,2
UC03,2026-04-11,3
UC03,2026-04-23,2
UC03,2026-05-07,2
UC03,2026-05-29,3
UC03,2026-06-13,3
UC03,2026-06-18,3
UC03,2026-06-26,3
UC03,2026-07-31,3
UC03,2026-08-21,3
UC04,2026-03-26,1
UC04,2026-04-20,3
UC04,2026-04-23,1
UC04,2026-05-02,3
UC04,2026-05-07,1
UC04,2026-05-15,3
UC04,2026-05-16,3
UC04,2026-05-21,3
UC04,2026-05-22,3
UC04,2026-07-03,3
UC04,2026-08-07,3
UC04,2026-08-28,3
UC05,2026-03-12,6
UC05,2026-03-20,2
UC05,2026-03-26,3
UC05,2026-04-10,2
UC05,2026-04-11,3
UC05,2026-04-17,2
UC05,2026-04-23,3
UC05,2026-05-07,3
UC05,2026-05-21,3
UC05,2026-05-29,3
UC05,2026-06-13,3
UC05,2026-06-19,3
UC05,2026-06-26,3
UC05,2026-07-03,3
UC05,2026-07-09,3
UC05,2026-07-31,3
UC05,2026-08-13,3
UC05,2026-08-21,3
UC05,2026-09-03,3
UC06,2026-03-20,2
UC06,2026-04-10,2
UC06,2026-04-17,2
UC06,2026-05-30,3
UC06,2026-06-12,3
UC06,2026-07-02,3
UC06,2026-07-10,3
UC06,2026-08-14,3
UC06,2026-09-04,3
UC07,2026-03-19,3
UC07,2026-04-09,3
UC07,2026-04-16,3
UC07,2026-04-20,3
UC07,2026-04-30,3
UC07,2026-05-02,3
UC07,2026-05-14,3
UC07,2026-05-15,3
UC07,2026-05-22,3
UC07,2026-05-28,3
UC07,2026-07-02,3
UC07,2026-07-30,3
UC07,2026-08-07,3
UC07,2026-08-20,3
UC07,2026-08-28,3
UC08,2026-03-13,6
UC08,2026-03-20,2
UC08,2026-03-27,3
UC08,2026-04-10,2
UC08,2026-04-17,2
UC08,2026-04-24,3
UC08,2026-05-08,3
UC08,2026-06-12,3
UC08,2026-06-18,3
UC08,2026-06-25,3
UC08,2026-07-10,3
UC08,2026-08-06,3
UC08,2026-08-14,3
UC08,2026-08-27,3
UC08,2026-09-04,3
UC09,2026-03-27,3
UC09,2026-04-24,3
UC09,2026-05-08,3
UC09,2026-05-16,3
UC09,2026-06-19,3
UC09,2026-06-25,3
UC09,2026-08-06,3
UC09,2026-08-27,3
